year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
2015,all,lit_only,theil_l,municipality,0.1747165768695929,0.08098056580593954,0.09373601106365365,0.4634967514638454,0.5365032485361562,nan,2.7755575615628914e-16,19
2016,all,lit_only,theil_l,municipality,0.17476437887691473,0.08100442608784256,0.0937599527890725,0.4635065029178136,0.5364934970821883,nan,3.0531133177191805e-16,19
2017,all,lit_only,theil_l,municipality,0.1744522396079881,0.08095934135036806,0.09349289825762046,0.4640773975289278,0.5359226024710745,nan,3.885780586188048e-16,19
2018,all,lit_only,theil_l,municipality,0.17445857945844068,0.08124967751500156,0.09320890194343961,0.4657247454795238,0.5342752545204791,nan,4.996003610813204e-16,19
2019,all,lit_only,theil_l,municipality,0.17434247137232875,0.08251292194055554,0.09182954943177388,0.47328067160605714,0.5267193283939466,nan,6.661338147750939e-16,19
2020,all,lit_only,theil_l,municipality,0.1731498893440192,0.08229383104159022,0.0908560583024294,0.47527510039631876,0.5247248996036836,nan,4.163336342344337e-16,19
2021,all,lit_only,theil_l,municipality,0.17257674848957388,0.08232033107613136,0.09025641741344292,0.47700708117759383,0.5229929188224085,nan,3.885780586188048e-16,19
2022,all,lit_only,theil_l,municipality,0.17257674848957388,0.08232033107613136,0.09025641741344292,0.47700708117759383,0.5229929188224085,nan,3.885780586188048e-16,19
1992,all,zeros_included,theil_l,municipality,0.23631377252275088,0.11333159915956117,0.12298217336318969,0.4795810161621041,0.5204189838378959,nan,0.0,19
1993,all,zeros_included,theil_l,municipality,0.17798196143628892,0.08348541482618943,0.0944965466100995,0.46906671975336206,0.530933280246638,nan,0.0,19
1994,all,zeros_included,theil_l,municipality,0.1771011433040342,0.0821259284696996,0.09497521483433476,0.46372331051929944,0.5362766894807014,nan,1.6653345369377348e-16,19
1995,all,zeros_included,theil_l,municipality,0.17391740974648298,0.07913716180167789,0.094780247944805,0.45502725642611075,0.5449727435738887,nan,8.326672684688674e-17,19
1996,all,zeros_included,theil_l,municipality,0.17433956579085144,0.07806694881874904,0.09627261697210253,0.4477867572092212,0.5522132427907795,nan,1.3877787807814457e-16,19
1997,all,zeros_included,theil_l,municipality,0.17421291169983408,0.07807274609910855,0.09614016560072564,0.44814557851846587,0.5518544214815347,nan,1.1102230246251565e-16,19
1998,all,zeros_included,theil_l,municipality,0.17078162581770498,0.07700881008018476,0.09377281573752036,0.45091976207314705,0.5490802379268538,nan,1.3877787807814457e-16,19
1999,all,zeros_included,theil_l,municipality,0.17159362401894113,0.07715110417389844,0.09444251984504287,0.4496152151048585,0.5503847848951425,nan,1.6653345369377348e-16,19
2000,all,zeros_included,theil_l,municipality,0.17162757511474522,0.07719858109330648,0.09442899402143888,0.4498029005053165,0.5501970994946843,nan,1.3877787807814457e-16,19
2001,all,zeros_included,theil_l,municipality,0.17168605604423293,0.07726941128868138,0.09441664475555163,0.4500622419142403,0.5499377580857602,nan,8.326672684688674e-17,19
2002,all,zeros_included,theil_l,municipality,0.17168605604423293,0.07726941128868138,0.09441664475555163,0.4500622419142403,0.5499377580857602,nan,8.326672684688674e-17,19
2003,all,zeros_included,theil_l,municipality,0.17168605604423293,0.07726941128868138,0.09441664475555163,0.4500622419142403,0.5499377580857602,nan,8.326672684688674e-17,19
2004,all,zeros_included,theil_l,municipality,0.17168605604423293,0.07726941128868138,0.09441664475555163,0.4500622419142403,0.5499377580857602,nan,8.326672684688674e-17,19
2005,all,zeros_included,theil_l,municipality,0.17169772227560948,0.07727253065918818,0.09442519161642143,0.45004982963693707,0.5499501703630637,nan,1.3877787807814457e-16,19
2006,all,zeros_included,theil_l,municipality,0.17171446913173205,0.07727391057830545,0.0944405585534267,0.45001397359837036,0.5499860264016302,nan,1.1102230246251565e-16,19
2007,all,zeros_included,theil_l,municipality,0.17172375031069076,0.07727584455385811,0.0944479057568327,0.4500009137585627,0.5499990862414376,nan,5.551115123125783e-17,19
2008,all,zeros_included,theil_l,municipality,0.17172375031069076,0.07727584455385811,0.0944479057568327,0.4500009137585627,0.5499990862414376,nan,5.551115123125783e-17,19
2009,all,zeros_included,theil_l,municipality,0.17172375031069076,0.07727584455385811,0.0944479057568327,0.4500009137585627,0.5499990862414376,nan,5.551115123125783e-17,19
2010,all,zeros_included,theil_l,municipality,0.17172375031069076,0.07727584455385811,0.0944479057568327,0.4500009137585627,0.5499990862414376,nan,5.551115123125783e-17,19
2011,all,zeros_included,theil_l,municipality,0.17149018891215212,0.07736576934865057,0.09412441956350151,0.45113816620892583,0.548861833791074,nan,5.551115123125783e-17,19
2012,all,zeros_included,theil_l,municipality,0.17125465415369717,0.07741956263690587,0.09383509151679123,0.452072751070599,0.5479272489294006,nan,5.551115123125783e-17,19
2013,all,zeros_included,theil_l,municipality,0.17096871561202504,0.07736903165631981,0.09359968395570509,0.4525332683196345,0.5474667316803646,nan,1.3877787807814457e-16,19
